ability_1,ability_10,ability_11,ability_12,ability_13,ability_14,ability_15,ability_16,ability_17,ability_18,ability_19,ability_2,ability_20,ability_3,ability_4,ability_5,ability_6,ability_7,ability_8,ability_9,armor_class,challenge,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,dexterity,hit_points,intelligence,languages,misc,name,saving_throws,senses,short_desc,skills,speed,strength,url,wisdom
"Shapechanger.;; If the vampire isn’t in sun light or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.",||ADDENDUM||Forbiddance. The vampire can’t enter a residence without an invitation from one of the occupants.,||ADDENDUM||Harmed by Running Water. The vampire takes 20 acid damage if it ends its turn in running water.,"||ADDENDUM||Stake to the Heart. If a piercing weapon made of wood is driven into the vampire’s heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.","||ADDENDUM||Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.","Spellcasting.;; The vampire is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). The vampire has the following wizard spells prepared:Cantrips (at will): mage hand, prestidigitation, ray of frost++1st level (4 slots): comprehend languages, fog cloud, sleep++2nd level (3 slots): detect thoughts, gust of wind, mirror image++3rd level (3 slots): animate dead, bestow curse, nondetection++4th level (3 slots): blight, greater invisibility++5th level (1 slot): dominate person","Multiattack (Vampire Form Only).;; The vampire makes two attacks, only one of which can be a bite attack.","Unarmed Strike (Vampire Form Only).;; Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18).","Bite (Bat or Vampire Form Only).;; Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target’s hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire’s control.","Charm.;; The vampire targets one humanoid it can see within 30 ft. of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn’t under the vampire’s control, it takes the vampire’s requests or actions in the most favorable way it can, and it is a willing target for the vampire’s bit attack.","||ADDENDUM||Each time the vampire or the vampire’s companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.","||ADDENDUM||While in bat form, the vampire can’t speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.","Children of the Night (1/Day).;; The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn’t up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.","||ADDENDUM||While in mist form, the vampire can’t take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature’s space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can’t pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight.","Legendary Resistance (3/Day).;; If the vampire fails a saving throw, it can choose to succeed instead.","Misty Escape.;; When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn’t in sunlight or running water. If it can’t transform, it is destroyed.","||ADDENDUM||While it has 0 hit points in mist form, it can’t revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point.","Regeneration.;; The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn’t in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn’t function at the start of the vampire’s next turn.","Spider Climb.;; The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",Vampire Weaknesses.;; The vampire has the following flaws:,16 (natural armor),"15 (13,000 XP)",18 (+4),,18 (+4),,"necrotic, bludgeoning, piercing, and slashing from nonmagical weapons",18 (+4),144 (17d8+68),17 (+3),the languages it knew in life,,Vampire Spellcaster,"Dex +9, Wis +7, Cha +9",darkvision 120 ft.,"Medium undead (shapechanger), lawful evil","Perception +7, Stealth +9",30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/vampire-spellcaster,15 (+2)
"Regeneration.;; The vampire regains 10 hit points at the start of its turn if it has at least 1 hit point and isn’t in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn’t function at the start of the vampire’s next turn.","Claws.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 8 (2d4 + 3) slashing damage. Instead of dealing damage, the vampire can grapple the target (escape DC 13).",,,,,,,,,,"Spider Climb.;; The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",,Vampire Weaknesses.;; The vampire has the following flaws:,||ADDENDUM||Forbiddance. The vampire can’t enter a residence without an invitation from one of the occupants.,||ADDENDUM||Harmed by Running Water. The vampire takes 20 acid damage when it ends its turn in running water.,||ADDENDUM||Stake to the Heart. The vampire is destroyed if a piercing weapon made of wood is driven into its heart while it is incapacitated in its resting place.,"||ADDENDUM||Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.","Multiattack.;; The vampire makes two attacks, only one of which can be a bite attack.","Bite.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 6 (1d6 + 3) piercing damage plus 7 (2d6) necrotic damage. The target’s hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.",15 (natural armor),"5 (1,800 XP)",12 (+1),,16 (+3),,"necrotic, bludgeoning, piercing, and slashing from nonmagical weapons",16 (+3),82 (11d8+33),11 (0),the languages it knew in life,,Vampire Spawn,"Dex +6, Wis +3",darkvision 60 ft.,"Medium undead, neutral evil","Perception +3, Stealth +6",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/vampire-spawn,10 (0)
"Shapechanger.;; If the vampire isn’t in sun light or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.",||ADDENDUM||Forbiddance. The vampire can’t enter a residence without an invitation from one of the occupants.,||ADDENDUM||Harmed by Running Water. The vampire takes 20 acid damage if it ends its turn in running water.,"||ADDENDUM||Stake to the Heart. If a piercing weapon made of wood is driven into the vampire’s heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.","||ADDENDUM||Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.","Multiattack (Vampire Form Only).;; The vampire makes two attacks, only one of which can be a bite attack.","Unarmed Strike (Vampire Form Only).;; Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18).","Bite (Bat or Vampire Form Only).;; Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target’s hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire’s control.","Charm.;; The vampire targets one humanoid it can see within 30 ft. of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn’t under the vampire’s control, it takes the vampire’s requests or actions in the most favorable way it can, and it is a willing target for the vampire’s bit attack.","||ADDENDUM||Each time the vampire or the vampire’s companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.","Children of the Night (1/Day).;; The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn’t up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.","||ADDENDUM||While in bat form, the vampire can’t speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.","||ADDENDUM||The vampire can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The vampire regains spent legendary actions at the start of its turn.","||ADDENDUM||While in mist form, the vampire can’t take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature’s space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can’t pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight.","Legendary Resistance (3/Day).;; If the vampire fails a saving throw, it can choose to succeed instead.","Misty Escape.;; When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn’t in sunlight or running water. If it can’t transform, it is destroyed.","||ADDENDUM||While it has 0 hit points in mist form, it can’t revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point.","Regeneration.;; The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn’t in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn’t function at the start of the vampire’s next turn.","Spider Climb.;; The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.",Vampire Weaknesses.;; The vampire has the following flaws:,16 (natural armor),"13 (10,000 XP)",18 (+4),,18 (+4),,"necrotic, bludgeoning, piercing, and slashing from nonmagical weapons",18 (+4),144 (17d8+68),17 (+3),the languages it knew in life,"Shapechanger.;; If the vampire isn’t in sun light or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.||ADDENDUM||While in bat form, the vampire can’t speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.||ADDENDUM||While in mist form, the vampire can’t take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature’s space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can’t pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight.Legendary Resistance (3/Day).;; If the vampire fails a saving throw, it can choose to succeed instead.Misty Escape.;; When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn’t in sunlight or running water. If it can’t transform, it is destroyed.||ADDENDUM||While it has 0 hit points in mist form, it can’t revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point.Regeneration.;; The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn’t in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn’t function at the start of the vampire’s next turn.Spider Climb.;; The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.Vampire Weaknesses.;; The vampire has the following flaws:||ADDENDUM||Forbiddance. The vampire can’t enter a residence without an invitation from one of the occupants.||ADDENDUM||Harmed by Running Water. The vampire takes 20 acid damage if it ends its turn in running water.||ADDENDUM||Stake to the Heart. If a piercing weapon made of wood is driven into the vampire’s heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.||ADDENDUM||Sunlight Hypersensitivity. The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.Multiattack (Vampire Form Only).;; The vampire makes two attacks, only one of which can be a bite attack.Unarmed Strike (Vampire Form Only).;; Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18).Bite (Bat or Vampire Form Only).;; Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target’s hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire’s control.Charm.;; The vampire targets one humanoid it can see within 30 ft. of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn’t under the vampire’s control, it takes the vampire’s requests or actions in the most favorable way it can, and it is a willing target for the vampire’s bit attack.||ADDENDUM||Each time the vampire or the vampire’s companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.Children of the Night (1/Day).;; The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn’t up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.||ADDENDUM||The vampire can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The vampire regains spent legendary actions at the start of its turn.Move.;; The vampire moves up to its speed without provoking opportunity attacks.Unarmed Strike.;; The vampire makes one unarmed strike.Bite (Costs 2 Actions).;; The vampire makes one bite attack.",Vampire,"Dex +9, Wis +7, Cha +9",darkvision 120 ft.,"Medium undead (shapechanger), lawful evil","Perception +7, Stealth +9",30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/vampire,15 (+2)
"Innate Spellcasting.;; The shaman can innately cast the following spells. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks).",,,,,,,,,,,"Spear.;; Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6+2) piercing damage, or 6 (1d8 + 2) piercing damage if wielded with two hands.",,"Shortbow.;; Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 4 (1d6 + 1) piercing damage.",,,,,,,13,2 (450 XP),12 (+1),,13 (+1),,,12 (+1),38 (7d8+7),10 (0),"Bothii, Common",,Uthgardt Shaman,,,"Medium humanoid (human), neutral evil","Medicine +4, Nature +4, Perception +4, Survival +6",30 ft.,14 (+2),http://chisaipete.github.io/bestiary/creature/uthgardt-shaman,15 (+2)
||ADDENDUM|| Any weapon attack that Urgala makes against a giant deals an extra 7 (2d6) damage on a hit.,,,,,,,,,,,||ADDENDUM|| Urgala makes two attacks with her morningstar or her shortbow.,,"||ADDENDUM|| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.","||ADDENDUM|| Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 1) piercing damage. Urgala carries a quiver of twenty arrows","||ADDENDUM||A retired adventurer, Urgala owns a respectable inn, the Northshield House, and she doesn’t want to see it or her neighbours’ homes destroyed. She has no tolerance for monsters or bullies.","||ADDENDUM|| We live in a violent world, and sometimes violence is necessary for survival.","||ADDENDUM|| My home is my life. Threaten it, and I’ll hurt you.",||ADDENDUM|| I know how treacherous and greedy adventurers can be. I don’t trust them - any of them.,,12 (leather),0 (10 XP),13 (+1),,14 (+2),,,13 (+1),58 (9d8 + 18),12 (+1),"Common, Giant",,Urgala Meltimer,,passive Perception 12,"Medium humanoid (turami human), lawful good","Athletics +5, Intimidation +3",30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/urgala-meltimer,14 (+2)
"Charge.;; If the unicorn moves at least 20 ft. straight toward a target and then hits it with a horn attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.","Healing Touch (3/Day).;; The unicorn touches another creature with its horn. The target magically regains 11 (2d8 + 2) hit points. In addition, the touch removes all diseases and neutralizes all poisons afflicting the target.","Teleport (1/Day).;; The unicorn magically teleports itself and up to three willing creatures it can see within 5 ft. of it, along with any equipment they are wearing or carrying, to a location the unicorn is familiar with, up to 1 mile away.","||ADDENDUM||The unicorn can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The unicorn regains spent legendary actions at the start of its turn.",Hooves.;; The unicorn makes one attack with its hooves.,"Shimmering Shield (Costs 2 Actions).;; The unicorn creates a shimmering, magical field around itself or another creature it can see within 60 ft. of it. The target gains a +2 bonus to AC until the end of the unicorn’s next turn.",Heal Self (Costs 3 Actions).;; The unicorn magically regains 11 (2d8 + 2) hit points.,,,,,"Innate Spellcasting.;; The unicorn’s innate spellcasting ability is Charisma (spell save DC 14). The unicorn can innately cast the following spells, requiring no components:",,"||ADDENDUM||At will: detect evil and good, druidcraft, pass without trace","||ADDENDUM||1/day each: calm emotions, dispel evil and good, entangle",Magic Resistance.;; The unicorn has advantage on saving throws against spells and other magical effects.,Magic Weapons.;; The unicorn’s weapon attacks are magical.,Multiattack.;; The unicorn makes two attacks: one with its hooves and one with its horn.,"Hooves.;; Melee Weapon Attack: +7 to hit, reach 5 ft ., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","Horn.;; Melee Weapon Attack: +7 to hit, reach 5 ft ., one target. Hit: 8 (1d8 + 4) piercing damage.",12,"5 (1,800 XP)",16 (+3),"charmed, paralyzed, poisoned",15 (+2),poison,,14 (+2),67 (9d10+18),11 (0),"Celestial, Elvish, Sylvan, telepathy 60 ft.",,Unicorn,,darkvision 60 ft.,"Large celestial, lawful good",,50 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/unicorn,17 (+3)
"Confusing Gaze.;; When a creature starts its turn within 30 feet of the umber hulk and is able to see the umber hulk’s eyes, the umber hulk can magically force it to make a DC 15 Charisma saving throw, unless the umber hulk is incapacitated.",,,,,,,,,,,"||ADDENDUM||On a failed saving throw, the creature can’t take reactions until the start of its next turn and rolls a d8 to determine what it does during that turn. On a 1 to 4, the creature does nothing. On a 5 or 6, the creature takes no action but uses all its movement to move in a random direction. On a 7 or 8, the creature makes one melee attack against a random creature, or it does nothing if no creature is within reach.",,"||ADDENDUM||Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can’t see the umber hulk until the start of its next turn, when it can avert its eyes again. If the creature looks at the umber hulk in the meantime, it must immediately make the save.","Tunneler.;; The umber hulk can burrow through solid rock at half its burrowing speed and leaves a 5 foot-wide, 8-foot-high tunnel in its wake.",Multiattack.;; The umber hulk makes three attacks: two with its claws and one with its mandibles.,"Claw.;; Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) slashing damage.","Mandibles.;; Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage.",,,18 (natural armor),"5 (1,800 XP)",10 (0),,16 (+3),,,13 (+1),93 (11d10+33),9 (-1),Umber Hulk,,Umber Hulk,,"darkvision 120 ft., tremorsense 60 ft.","Large monstrosity, chaotic evil",,"30 ft., burrow 20 ft.",20 (+5),http://chisaipete.github.io/bestiary/creature/umber-hulk,10 (0)
"Innate Spellcasting.;; The ultroloth’s innate spellcasting ability is Charisma (spell save DC 17). The ultroloth can innately cast the following spells, requiring no material components:","Teleport.;; The ultroloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.",Variant: Summon Yugoloth (1/Day).;; The yugoloth chooses what to summon and attempts a magical summoning.,"||ADDENDUM||An ultroloth has a 50 percent chance of summoning 1d6 mezzoloths, 1d4 nycaloths, or one ultroloth.","||ADDENDUM||A summoned yugoloth appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can’t summon other yugoloths. The summoned yugoloth remains for 1 minute, until it or its summoner dies, or until its summoner takes a bonus action to dismiss it.",,,,,,,"||ADDENDUM||At will: alter self, clairvoyance, darkness, detect magic, detect thoughts, dispel magic, invisibility (self only), suggestion",,"||ADDENDUM||3/day each: dimension door, fear, wall of fire","||ADDENDUM||1/day each: fire storm, mass suggestion",Magic Resistance.;; The ultroloth has advantage on saving throws against spells and other magical effects.,Magic Weapons.;; The ultroloth’s weapon attacks are magical.,Multiattack.;; The ultroloth can use its Hypnotic Gaze and makes three melee attacks.,"Longsword.;; Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.","Hypnotic Gaze.;; The ultroloth’s eyes sparkle with opalescent light as it targets one creature it can see within 30 feet of it. If the target can see the ultroloth, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed until the end of the ultroloth’s next turn. The charmed target is stunned. If the target’s saving throw is successful, the target is immune to the ultroloth’s gaze for the next 24 hours.",19 (natural armor),"13 (10,000 XP)",19 (+4),"charmed, frightened, poisoned",18 (+4),"acid, poison","cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons",16 (+3),153 (18d8+72),18 (+4),"Abyssal, Infernal, telepathy 120 ft.",,Ultroloth,,truesight 120 ft.,"Medium fiend (yugoloth), neutral evil","Intimidation +9, Perception +7, Stealth +8","30 ft., fly 60 ft.",16 (+3),http://chisaipete.github.io/bestiary/creature/ultroloth,15 (+2)
"Creature Sense.;; The ulitharid is aware of the presence of creatures within 2 miles of it that have an Intelligence score of 4 or higher. It knows the distance and direction to each creature, as well as each creature’s intelligence score, but can’t sense anything else about it. A creature protected by a mind blank spell, a nondetection spell, or similar magic can’t be perceived in this manner.",,,,,,,,,,,Magic Resistance.;; The ulitharid has advantage on saving throws against spells and other magical effects.,,"Psionic Hub.;; If an elder brain establishes a psychic link with the ulitharid, the elder brain can form a psychic link with any other creature the ulitharid can detect using its Creature Sense. Any such link ends if the creature falls outside the telepathy ranges of both the ulitharid and the elder brain. The ulitharid can maintain its psychic link with the elder brain regardless of the distance between them, so long as they are both on the same plane of existence. lithe ulitharid is more than 5 miles away from the elder brain, it can end the psychic link at any time (no action required).","Innate Spellcasting (Psionics).;; The ulitharid’s innate spellcasting ability is Intelligence (spell save DC 17). It can innately cast the following spells, requiring no components:","||ADDENDUM||At will: detect thoughts, levitate","||ADDENDUM||1/day each: confusion, dominate monster, eyebite, feeblemind, mass suggestion, plane shift (self only), project image, scrying, telekinesis","Tentacles.;; Melee Weapon Attack: +9 to hit, reach 10 ft., one creature. Hit: 27 (4d10+5) psychic damage. If the target is Large or smaller, it is grappled (escape DC 14) and must succeed on a DC 17 Intelligence saving throw or be stunned until this grapple ends.","Extract Brain.;; Melee Weapon Attack: +9 to hit, reach 5 ft., one incapacitated humanoid grappled by the ulitharid. Hit: 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the ulitharid kills the target by extracting and devouring its brain.","Mind Blast (Recharge 5-6).;; The ulitharid magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 17 Intelligence saving throw or take 31 (4d12+5) psychic damage and be stunned for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",15 (breastplate),"9 (5,000 XP)",21 (+5),,15 (+2),,,12 (+1),127 (17d10+34),21 (+5),"Deep Speech, Undercommon, telepathy 2 miles",,Ulitharid,"Int +9, Wis +8, Cha +9",darkvision 120 ft.,"Large aberration, lawful evil","Arcana +9, Insight +8, Perception +8, Stealth +5",30 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/ulitharid,19 (+4)
"Disgorge Zombie.;; As a bonus action , the tyrannosaurus zombie can disgorge a normal zombie, which appears in an unoccupied space within 10 feet of it. The disgorged zombie acts on its own initiative count. After a zombie is disgorged, roll a d6. On a roll of l, the tyrannosaurus zombie runs out of zombies to disgorge and loses this trait . If the tyrannosaurus zombie still has this trait when it dies, ld4 normal zombies erupt from its corpse at the start of its next turn. These zombies act on their own initiative count.",,,,,,,,,,,"Undead fortitude.;; If damage reduces the tyrannosaurus zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.",,Multiattack.;; The tyrannosaurus zombie makes two attacks: one with its bite and one with it s tail. It can’t make both attacks against the same target.,"Bite.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 +7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained and the tyrannosaurus zombie can’t bite another target or disgorg e zombies.","Tail.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 +7) bludgeoning damage.",,,,,11 (natural armor),"8 (3,900 XP)",5 (-3),poisoned,19 (+4),poison,,6 (-2),136 (13d12 +52),1 (-5),,,Tyrannosaurus Zombie,,"darkvision 60 ft., passive Perception 6","Huge undead, unaligned",,40 ft.,25 (+7),http://chisaipete.github.io/bestiary/creature/tyrannosaurus-zombie,3 (-4)
Multiattack.;; The tyrannosaurus makes two attacks: one with its bite and one with its tail. It can’t make both attacks against the same target.,,,,,,,,,,,"Bite.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 + 7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained, and the tyrannosaurus can’t bite another target.",,"Tail.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.",,,,,,,13 (natural armor),"8 (3,900 XP)",9 (-1),,19 (+4),,,10 (0),136 (13d12+52),2 (-4),,,Tyrannosaurus Rex,,,"Huge beast, unaligned",Perception +4,50 ft.,25 (+7),http://chisaipete.github.io/bestiary/creature/tyrannosaurus-rex,12 (+1)
"False Appearance.;; While the blight remains motionless, it is indistinguishable from a dead shrub.",,,,,,,,,,,"Claws.;; Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.",,,,,,,,,13 (natural armor),1/8 (25 XP),3 (-4),"blinded, deafened",12 (+1),,,13 (+1),4 (1d6+1),4 (-3),understands Common but can't speak,,Twig Blight,,blindsight 60 ft. (blind beyond this radius),"Small plant, neutral evil",Stealth +3,20 ft.,6 (-2),http://chisaipete.github.io/bestiary/creature/twig-blight,8 (-1)
