actions,armor_class,challenge,charisma,constitution,dexterity,hit_points,intelligence,languages,name,short_desc,skills,speed,strength,url,wisdom
" cold, fire, lightning| charmed, exhaustion, frightened, poisoned| Yeenoghu’s spellcasting ability is Charisma (spell save DC 17, +9 to hit with spell attacks). He can innately cast the following spells, requiring no material components:| If Yeenoghu fails a saving throw, he can choose to succeed instead.| Yeenoghu has advantage on saving throws against spells and other magical effects.| Yeenoghu’s weapon attacks are magical.| When Yeenoghu reduces a creature to 0 hit points with a melee attack on his turn, Yeenoghu can take a bonus action to move up to half his speed and make a bite attack.| Yeenoghu makes three flail attacks. If an attack hits, he can cause it to create an additional effect of his choice or at random (each effect can be used only once per Multiattack):| Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 15 (1d12 + 9) bludgeoning damage.| Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 14 (1d10 + 9) piercing damage.|Yeenoghu can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Yeenoghu regains spent legendary actions at the start of his turn.| Yeenoghu moves up to his speed.| Yeenoghu makes a flail attack. If the attack hits, the target must succeed on a DC 24 Strength saving throw or be pushed 15 feet in a straight line away from Yeenoghu. If the saving throw fails by 5 or more, the target falls prone.| Yeenoghu makes a bite attack against each creature within 10 feet of him.",20 (natural armor),"Intimidation +9, Perception +14",15 (+2),23 (+6),16 (+3),333  (23d12 + 184),15 (+2),"truesight 120 ft., passive Perception 24",Yeenoghu,"Huge fiend (demon), chaotic evil","poison; bludgeoning, piercing, and slashing from nonmagical attacks",50 ft.,29 (+9),http://chisaipete.github.io/bestiary/creature/yeenoghu,24 (+7)
" cold, fire;  bludgeoning, piercing, and slashing from nonmagical weapons| charmed, frightened, paralyzed, petrified, poisoned, prone, restrained| Yan-C-Bin can enter a hostile creature’s space and stop there. He can move through a space as narrow as 1 inch wide without squeezing if air could pass through that space.| Yan-C-Bin’s slam attacks are treated as magical for the purpose of bypassing resistance and immunity to nonmagical weapons.| Yan-C-Bin’s innate spellcasting ability is Charisma (spell save DC 20, +12 to hit with spell attacks). He can innately cast the following spells, requiring no material components:| If Yan-C-Bin fails a saving throw, he can choose to succeed instead.| Yan-C-Bin has advantage on saving throws against spells and other magical effects.| Yan-C-Bin makes two slam attacks.| Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) force damage plus 10 (3d6) lightning damage.| Yan-C-Bin unleashes a terrible thundercrack in a 100-foot- radius sphere centered on himself. All other creatures in the area must succeed on a DC 24 Constitution saving throw or take 31 (9d6) thunder damage and be deafened for 1 minute. On a successful save, a creature takes half as much damage and is deafened until the start of Yan-C-Bin’s next turn.| Yan-C-Bin polymorphs into a Medium humanoid. While in polymorphed form, a swirling breeze surrounds him, his eyes are pale and cloudy, and he loses the Air Form trait. He can remain in polymorphed form for up to 1 hour. Reverting to his true form requires an action.| Yan-C-Bin summons up to three air elementals and loses 30 hit points for each elemental he summons. Summoned elementals have maximum hit points, appear within 100 feet of Yan-C-Bin, and disappear if Yan-C-Bin is reduced to 0 hit points.|The yan-c-bin can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The yan-c-bin regains spent legendary actions at the start of its turn.| Yan-C-Bin unleashes a peal of thunder that can be heard out to a range of 300 feet. Each creature within 30 feet of Yan-C-Bin takes 5 (1d10) thunder damage.| Yan-C-Bin magically teleports up to 120 feet to an unoccupied space he can see. Anything Yan-C-Bin is wearing or carrying is teleported with him.| Yan-C-Bin steals the air of one breathing creature he can see within 60 feet of him. The target must make a DC 21 Constitution saving throw. On a failed save, the target drops to 0 hit points and is dying. On a successful save, the target can’t breathe or speak until the start of its next turn.",22 (natural armor),Auran,23 (+6),24 (+7),24 (+7),283 (21d12+147),16 (+3),blindsight 120 ft.,Yan-C-Bin,"Huge elemental, neutral evil","lightning, poison, thunder","50 ft., fly 150 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/yan-c-bin,21 (+5)
" cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks| poisoned| The yagnoloth’s innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:| The yagnoloth has advantage on saving throws against spells and other magical effects.| The yagnoloth’s weapon attacks are magical.| The yagnoloth makes one massive arm attack and one electrified touch attack, or it makes one massive arm attack and teleports before or after the attack.| Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 27 (6d8) lightning damage.| Melee Weapon Attack: +8 to hit, reach 15 ft., one target. Hit: 23 (3d12 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Constitution saving throw or is stunned until the end of the yagnoloth’s next turn.| The yagnoloth touches one incapacitated creature within 15 feet of it. The target takes 36 (7d8 + 4) necrotic damage, and the yagnoloth gains temporary hit points equal to half the damage dealt. The target must succeed on a DC 16 Constitution saving throw, or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest, and the target dies if its hit point maximum is reduced to 0.| Up to two allied yugoloths within 60 feet of the yagnoloth that can hear it can use their reactions to make one melee attack each.| The yagnoloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.",17 (natural armor),"Deception +8, Insight +6, Perception +6, Persuasion +8",18 (+4),21 (+5),14 (+2),147  (14d10 + 70),16 (+3),"blindsight 60 ft., darkvision 60 ft., passive Perception 16",Yagnoloth,"Large fiend (yugoloth), neutral evil","acid, poison",40 ft.,19 (+4),http://chisaipete.github.io/bestiary/creature/yagnoloth,15 (+2)
" The xvart can take the Disengage action as a bonus action on each of its turns.| The xvart has advantage on Strength (Athletics) checks to shove a creature if at least one of the xvart’s allies is within 5 feet of the target and the ally isn’t incapacitated.| The xvart can communicate with ordinary bats and rats, as well as giant bats and giant rats.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6+2) piercing damage.| Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4+2) bludgeoning damage.",13 (leather armor),Abyssal,7 (-2),10 (0),14 (+2),7 (2d6),8 (-1),Stealth +4,Xvart,"Small humanoid (xvart), chaotic evil",darkvision 30 ft.,30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/xvart,7 (-2)
" piercing and slashing from nonmagical weapons that aren’t adamantine| The xorn can burrow through nonmagical, unworked earth and stone. While doing so, the xorn doesn’t disturb the material it moves through.| The xorn has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.| The xorn can pinpoint, by scent, the location of precious metals and stones, such as coins and gems, within 60 ft. of it.| The xorn makes three claw attacks and one bite attack.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (3d6 + 3) piercing damage.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.",19 (natural armor),Terran,11 (0),22 (+6),10 (0),73 (7d8+42),11 (0),"Perception +6, Stealth +3",Xorn,"Medium elemental, neutral","darkvision 60 ft., tremorsense 60 ft.","20 ft., burrow 20 ft.",17 (+3),http://chisaipete.github.io/bestiary/creature/xorn,10 (0)
" The wyvern makes two attacks: one with its bite and one with its stinger. While flying, it can use its claws in place of one other attack.| Melee Weapon Attack: +7 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.| Melee Weapon Attack: +7 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage. The target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.",13 (natural armor),"6 (2,300 XP)",6 (-2),16 (+3),10 (0),110 (13d10+39),5 (-3),Perception +4,Wyvern,"Large dragon, unaligned",darkvision 60 ft.,"20 ft., fly 80 ft.",19 (+4),http://chisaipete.github.io/bestiary/creature/wyvern,12 (+1)
" acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons that aren’t silvered| charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained| The wraith can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.| While in sunlight, the wraith has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.| Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 21 (4d8 + 3) necrotic damage. The target must succeed on a DC 14 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.| The wraith targets a humanoid within 10 feet of it that has been dead for no longer than 1 minute and died violently. The target’s spirit rises as a specter in the space of its corpse or in the nearest unoccupied space. The specter is under the wraith’s control. The wraith can have no more than seven specters under its control at one time.",13,the languages it knew in life,15 (+2),16 (+3),16 (+3),67 (9d8+27),12 (+1),darkvision 60 ft.,Wraith,"Medium undead, neutral evil","necrotic, poison","0 ft., fly 60 ft. (hover)",6 (-2),http://chisaipete.github.io/bestiary/creature/wraith,14 (+2)
" The worg has advantage on Wisdom (Perception) checks that rely on hearing or smell.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",13 (natural armor),"Goblin, Worg",8 (-1),13 (+1),13 (+1),26 (4d10+4),7 (-2),Perception +4,Worg,"Large monstrosity, neutral evil",darkvision 60 ft.,50 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/worg,11 (0)
" Windharrow has advantage on saving throws against being charmed, and magic can’t put him to sleep.| Windharrow is an 8th-level spellcaster. His spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). Windharrow knows the following bard spells:| Windharrow makes two melee attacks.| Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage.",15 (studded leather),"Auran, Common, Elvish",17 (+3),12 (+1),16 (+3),55 (10d8+10),14 (+2),"Acrobatics +5, Deception +7, Persuasion +5, Performance +7, Stealth +5",Windharrow,"Medium humanoid (half-elf), neutral evil",darkvision 60 ft.,30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/windharrow,10 (0)
" poisoned| While in sunlight, the wight has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.| The wight makes two longsword attacks or two longbow attacks. It can use its Life Drain in place of one longsword attack.| Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) necrotic damage. The target must succeed on a DC 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.|A humanoid slain by this attack rises 24 hours later as a zombie under the wight’s control, unless the humanoid is restored to life or its body is destroyed. The wight can have no more than twelve zombies under its control at one time.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2) slashing damage if used with two hands.| Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",14 (studded leather),"Perception +3, Stealth +4",15 (+2),16 (+3),14 (+2),45 (6d8+18),10 (0),darkvision 60 ft.,Wight,"Medium undead, neutral evil","necrotic, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered",30 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/wight,13 (+1)
